country_name,country_code,year,unemployment_rate,youth_unemployment,employment_ratio,gdp,gdp_per_capita,gdp_per_capita_ppp,inflation,government_debt,foreign_direct_investment,trade_percent_gdp,education_spending,school_enrollment,opportunity_index,opportunity_rank
Iraq,IRQ,2021,16.173,35.653,33.248,209691945713.103,4868.49431080783,12731.7535755128,6.04186489058044,,-1.25770209772783,61.5032683117218,,,65.22215,211
Iraq,IRQ,2018,13.49,27.3,36.112,227367469034.031,5646.68932074742,14456.2357053191,0.367441488936849,27.438248367378,-2.14854834807913,65.8017917701083,,,73.7613989257656,91
Austria,AUT,2019,4.56,8.767,58.121,442983642371.842,49885.9947355204,64629.8257818257,1.53089564152644,83.4225378554933,-2.85255617561831,108.207284904426,5.21779012680054,86.3234329223633,86.532040968380073,15
Austria,AUT,2020,5.201,10.325,57.224,434397601557.696,48716.4098900349,60295.4951497108,1.38191063351862,100.056789599418,-2.76332070661681,99.9482141095975,5.57126998901367,88.7071990966797,82.7449768099444,17
Austria,AUT,2022,4.992,10.327,57.843,471773629830.381,52176.6649141178,65602.2565334818,8.5468699318845,74.9188665826748,3.03143362679607,124.38345148483,4.77447128295898,94.5116882324219,84.570624026734052,9
Austria,AUT,2023,5.264,10.98,57.649,511685203845.001,56033.573792065,64336.037528916,7.81413417002832,,0.571627955399011,116.813919411879,,,80.1312,24
Austria,AUT,2021,6.459,12.023,56.715,480467037338.783,53648.7190742245,62912.1741140595,2.7666666666667,94.4078899690203,3.95409323796325,111.032268737901,5.49411010742188,93.940071105957,84.182858252323456,12
Austria,AUT,2018,4.933,9.572,57.914,452582294972.775,51194.0749841299,63798.2138732413,1.9983798142954,84.6637306752464,-6.15119207172195,108.377969971828,5.22655010223389,85.8698883056641,85.830856255067914,6
Dominica,DMA,2019,,,,611537037.037037,9009.09011545429,17318.9628927132,1.50462353858141,,10.3084171305166,,5.53449010848999,,,
Dominica,DMA,2020,,,,504214814.814815,7461.77933220095,14508.9226429359,-0.727116412668203,,4.52924732255777,,4.69630002975464,,,
Dominica,DMA,2022,,,,607159259.259259,9085.67412772363,16557.6406670121,7.7806152516404,,2.90760170247585,,6.04314231872559,,,
Dominica,DMA,2023,,,,653992592.592593,9832.99643050057,17420.2512475009,4.22769324983409,,3.16381510157796,,4.65674114227295,,,
Dominica,DMA,2021,,,,555266666.666667,8262.65091316727,15594.2853457545,1.4831944499819,,5.1036226068351,,5.46584510803223,,,
Dominica,DMA,2018,,,,554770370.37037,8137.56520624242,16344.8995689748,0.98919111918989,,14.1109143908535,106.96050417924,5.15360450744629,,,
Lao PDR,LAO,2019,2.537,4.471,60.575,18740561512.5555,2589.32081035237,8075.27502377003,3.32255881256925,,4.03149139231071,,2.12201404571533,13.7658739089966,57.95835,198
Lao PDR,LAO,2020,2.361,4.261,61.354,18981805250.2424,2583.77730696131,7995.59502527818,5.10407262959919,,5.09807193491087,,1.91597270965576,12.5843343734741,68.43755,159
Lao PDR,LAO,2022,1.209,2.184,65.203,15468785203.7532,2046.40440255621,8183.03286472653,22.9562225132056,,4.69509225789708,,1.46083438396454,13.6964569091797,68.95595,174
Lao PDR,LAO,2023,1.188,2.179,65.193,15843155731.2552,2066.94979776957,8372.15591874407,31.2301341732646,,11.2425630959408,,1.23375165462494,14.901439666748,68.9654,175
Lao PDR,LAO,2021,2.066,3.315,62.982,18827148530.9347,2526.05105018529,8080.43553249923,3.75562036658877,,5.69344695957329,,1.85949182510376,12.4585027694702,68.5703,164
Lao PDR,LAO,2018,2.9,5.128,59.192,18141641089.7963,2545.1075420815,7775.08574451883,2.04039266890201,,7.4856486219066,,2.33501219749451,14.5235404968262,68.195,167
